[TRACE][2021/12/06 15:36:34:001][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 28/999
[TRACE][2021/12/06 15:36:34:088][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 29/999
[TRACE][2021/12/06 15:36:34:174][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 30/999
[TRACE][2021/12/06 15:36:34:261][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 31/999
[TRACE][2021/12/06 15:36:34:347][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 32/999
[TRACE][2021/12/06 15:36:34:434][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 33/999
[TRACE][2021/12/06 15:36:34:520][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 34/999
[TRACE][2021/12/06 15:36:34:607][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 35/999
[TRACE][2021/12/06 15:36:34:693][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 36/999
[TRACE][2021/12/06 15:36:34:780][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 37/999
[TRACE][2021/12/06 15:36:34:867][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 38/999
[TRACE][2021/12/06 15:36:34:953][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 39/999
[TRACE][2021/12/06 15:36:35:040][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 40/999
[TRACE][2021/12/06 15:36:35:126][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 41/999
[TRACE][2021/12/06 15:36:35:213][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 42/999
[TRACE][2021/12/06 15:36:35:299][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 43/999
[TRACE][2021/12/06 15:36:35:386][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 44/999
[TRACE][2021/12/06 15:36:35:472][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 45/999
[TRACE][2021/12/06 15:36:35:559][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 46/999
